x,y,endX,endY,outcome,xT
70.2,29.2,64.7,11.7,Successful,-0.006672
41.9,35.2,41.5,66,Successful,-0.0016
48.2,8.2,45.7,2.9,Successful,0
63.7,8.2,46.8,34,Successful,-0.003159
43.3,32.8,34.2,58.5,Successful,-0.001665
65.5,27.4,69.8,49,Successful,0.0045
66,28.6,92.3,100,Unsuccessful,0.018575
33.2,6.7,24.5,4.3,Successful,-0.001328
58.7,66,98,94.5,Successful,0.018575
53,5,100,31.3,Unsuccessful,0.04969
92,82.7,88.1,97.4,Successful,-0.011626
82.2,84.2,66.8,79.9,Successful,-0.005518
71.6,36.4,82.7,10,Successful,0.003441
23.2,26.5,15.5,9.8,Successful,-0.002217
32.1,13.5,23.3,30,Successful,-0.000582
36.6,42.4,42.1,14.9,Successful,0.001219
47.4,44.6,37.4,68.2,Successful,-0.002154
40.7,67.2,34,75.3,Successful,-0.000545
53.3,33,54.4,34.5,Unsuccessful,0
59,20.1,85.5,24.3,Unsuccessful,0.021966
53.3,65.2,92.4,59.6,Unsuccessful,0.240598
58.1,64.8,70.7,86.8,Successful,0.007159
69.9,74.8,73,94.7,Successful,-0.002901
64.4,72.1,57.6,31,Successful,-0.002495
38.5,31.3,38.8,41.3,Successful,-6.5E-05
37.4,25.3,36.8,7.1,Successful,-0.001429
45.3,56,44.9,67.6,Successful,-0.000555
68.5,59.7,71.9,41.3,Successful,0
25.7,6.4,22.5,19.5,Successful,-0.000353
48.1,52.2,55,68.1,Successful,0.00201
